accession,name
Q00532,CDKL1_HUMAN
Q00534,CDK6_HUMAN
Q00535,CDK5_HUMAN
Q00536,CDK16_HUMAN
Q00537,CDK17_HUMAN
Q01973,ROR1_HUMAN
Q01974,ROR2_HUMAN
Q02156,KPCE_HUMAN
Q02750,MP2K1_HUMAN
Q02763,TIE2_HUMAN
Q02779,M3K10_HUMAN
Q02846,GUC2D_HUMAN
Q04759,KPCT_HUMAN
Q04771,ACVR1_HUMAN
Q04912,RON_HUMAN
Q05397,FAK1_HUMAN
Q05513,KPCZ_HUMAN
Q05655,KPCD_HUMAN
Q05823,RN5A_HUMAN
Q06187,BTK_HUMAN
Q06418,TYRO3_HUMAN
Q07002,CDK18_HUMAN
Q07912,ACK1_HUMAN
Q08345,DDR1_HUMAN
Q08881,ITK_HUMAN
Q09013,DMPK_HUMAN
Q12851,M4K2_HUMAN
Q12852,M3K12_HUMAN
Q12866,MERTK_HUMAN
Q13043,STK4_HUMAN
Q13131,AAPK1_HUMAN
Q13153,PAK1_HUMAN
Q13163,MP2K5_HUMAN
Q13164,MK07_HUMAN
Q13177,PAK2_HUMAN
Q13188,STK3_HUMAN
Q13233,M3K1_HUMAN
Q13237,KGP2_HUMAN
Q13308,PTK7_HUMAN
Q13315,ATM_HUMAN
Q13418,ILK_HUMAN
Q13464,ROCK1_HUMAN
Q13470,TNK1_HUMAN
Q13523,PRP4B_HUMAN
Q13535,ATR_HUMAN
Q13546,RIPK1_HUMAN
Q13554,KCC2B_HUMAN
Q13555,KCC2G_HUMAN
Q13557,KCC2D_HUMAN
Q13627,DYR1A_HUMAN
Q13705,AVR2B_HUMAN
Q13873,BMPR2_HUMAN
Q13882,PTK6_HUMAN
Q13976,KGP1_HUMAN
Q14004,CDK13_HUMAN
Q14012,KCC1A_HUMAN
Q14164,IKKE_HUMAN
Q14289,FAK2_HUMAN
Q14296,FASTK_HUMAN
Q14680,MELK_HUMAN
Q15118,PDK1_HUMAN
Q15119,PDK2_HUMAN
Q15120,PDK3_HUMAN
Q15131,CDK10_HUMAN
Q15139,KPCD1_HUMAN
Q15208,STK38_HUMAN
Q15303,ERBB4_HUMAN
Q15349,KS6A2_HUMAN
Q15375,EPHA7_HUMAN
Q15418,KS6A1_HUMAN
Q15569,TESK1_HUMAN
Q15746,MYLK_HUMAN
Q15759,MK11_HUMAN
Q15772,SPEG_HUMAN
Q15831,STK11_HUMAN
Q15835,GRK1_HUMAN
Q16288,NTRK3_HUMAN
Q16512,PKN1_HUMAN
Q16513,PKN2_HUMAN
Q16539,MK14_HUMAN
Q16566,KCC4_HUMAN
Q16584,M3K11_HUMAN
Q16620,NTRK2_HUMAN
Q16644,MAPK3_HUMAN
Q16654,PDK4_HUMAN
Q16659,MK06_HUMAN
Q16671,AMHR2_HUMAN
Q16816,PHKG1_HUMAN
Q16832,DDR2_HUMAN
Q2M2I8,AAK1_HUMAN
Q32MK0,MYLK3_HUMAN
Q38SD2,LRRK1_HUMAN
Q3MIX3,ADCK5_HUMAN
Q496M5,PLK5_HUMAN
Q504Y2,PKDCC_HUMAN
Q52WX2,SBK1_HUMAN
Q56UN5,M3K19_HUMAN
Q58A45,PAN3_HUMAN
Q59H18,TNI3K_HUMAN
Q5JZY3,EPHAA_HUMAN
Q5MAI5,CDKL4_HUMAN
Q5S007,LRRK2_HUMAN
Q5TCX8,M3K21_HUMAN
Q5TCY1,TTBK1_HUMAN
Q5VST9,OBSCN_HUMAN
Q5VT25,MRCKA_HUMAN
Q6A1A2,PDPK2_HUMAN
Q6DT37,MRCKG_HUMAN
Q6IQ55,TTBK2_HUMAN
Q6J9G0,STYK1_HUMAN
Q6P0Q8,MAST2_HUMAN
Q6P2M8,KCC1B_HUMAN
Q6P3R8,NEK5_HUMAN
Q6P3W7,SCYL2_HUMAN
Q6P5Z2,PKN3_HUMAN
Q6PHR2,ULK3_HUMAN
Q6SA08,TSSK4_HUMAN
Q6VAB6,KSR2_HUMAN
Q6XUX3,DUSTY_HUMAN
Q6ZMQ8,LMTK1_HUMAN
Q6ZN16,M3K15_HUMAN
Q6ZS72,PEAK3_HUMAN
Q6ZWH5,NEK10_HUMAN
Q76MJ5,ERN2_HUMAN
Q7KZI7,MARK2_HUMAN
Q7L7X3,TAOK1_HUMAN
Q7RTN6,STRAA_HUMAN
Q7Z2Y5,NRK_HUMAN
Q7Z695,ADCK2_HUMAN
Q7Z7A4,PXK_HUMAN
Q86SG6,NEK8_HUMAN
Q86TB3,ALPK2_HUMAN
Q86TW2,ADCK1_HUMAN
Q86UE8,TLK2_HUMAN
Q86UX6,ST32C_HUMAN
Q86V86,PIM3_HUMAN
Q86Y07,VRK2_HUMAN
Q86YV5,PRAG1_HUMAN
Q86YV6,MYLK4_HUMAN
Q86Z02,HIPK1_HUMAN
Q8IU85,KCC1D_HUMAN
Q8IV63,VRK3_HUMAN
Q8IVH8,M4K3_HUMAN
Q8IVT5,KSR1_HUMAN
Q8IVW4,CDKL3_HUMAN
Q8IW41,MAPK5_HUMAN
Q8IWB6,TEX14_HUMAN
Q8IWQ3,BRSK2_HUMAN
Q8IWU2,LMTK2_HUMAN
Q8IY84,NIM1_HUMAN
Q8IYT8,ULK2_HUMAN
Q8IZE3,PACE1_HUMAN
Q8IZL9,CDK20_HUMAN
Q8N165,PDK1L_HUMAN
Q8N2I9,STK40_HUMAN
Q8N4C8,MINK1_HUMAN
Q8N568,DCLK2_HUMAN
Q8N5S9,KKCC1_HUMAN
Q8N752,KC1AL_HUMAN
Q8NB16,MLKL_HUMAN
Q8NCB2,CAMKV_HUMAN
Q8NE28,STKL1_HUMAN
Q8NE63,HIPK4_HUMAN
Q8NER5,ACV1C_HUMAN
Q8NEV1,CSK23_HUMAN
Q8NEV4,MYO3A_HUMAN
Q8NFD2,ANKK1_HUMAN
Q8NG66,NEK11_HUMAN
Q8NI60,COQ8A_HUMAN
Q8TAS1,UHMK1_HUMAN
Q8TD08,MK15_HUMAN
Q8TD19,NEK9_HUMAN
Q8TDC3,BRSK1_HUMAN
Q8TDR2,STK35_HUMAN
Q8TDX7,NEK7_HUMAN
Q8TEA7,TBCK_HUMAN
Q8TF76,HASP_HUMAN
Q8WTQ7,GRK7_HUMAN
Q8WU08,ST32A_HUMAN
Q8WXR4,MYO3B_HUMAN
Q8WZ42,TITIN_HUMAN
Q92519,TRIB2_HUMAN
Q92630,DYRK2_HUMAN
Q92772,CDKL2_HUMAN
Q92918,M4K1_HUMAN
Q96BR1,SGK3_HUMAN
Q96C45,ULK4_HUMAN
Q96D53,COQ8B_HUMAN
Q96GD4,AURKB_HUMAN
Q96GX5,GWL_HUMAN
Q96J92,WNK4_HUMAN
Q96KB5,TOPK_HUMAN
Q96KG9,SCYL1_HUMAN
Q96L34,MARK4_HUMAN
Q96L96,ALPK3_HUMAN
Q96LW2,KS6R_HUMAN
Q96NX5,KCC1G_HUMAN
Q96PF2,TSSK2_HUMAN
Q96PN8,TSSK3_HUMAN
Q96PY6,NEK1_HUMAN
Q96Q04,LMTK3_HUMAN
Q96Q15,SMG1_HUMAN
Q96Q40,CDK15_HUMAN
Q96QP1,ALPK1_HUMAN
Q96QS6,KPSH2_HUMAN
Q96QT4,TRPM7_HUMAN
Q96RG2,PASK_HUMAN
Q96RR4,KKCC2_HUMAN
Q96RU7,TRIB3_HUMAN
Q96RU8,TRIB1_HUMAN
Q96S38,KS6C1_HUMAN
Q96S44,PRPK_HUMAN
Q96S53,TESK2_HUMAN
Q96SB4,SRPK1_HUMAN
Q99558,M3K14_HUMAN
Q99570,PI3R4_HUMAN
Q99640,PMYT1_HUMAN
Q99683,M3K5_HUMAN
Q99759,M3K3_HUMAN
Q99986,VRK1_HUMAN
